R1,R2,R3,R4,R5,R6
2.4094,40.1138,178.2696,9.2171,17.43295,85.37155
8.2195,40.64875,364.3678,13.1602,24.19075,346.83585
23.599,82.5778,584.47295,17.5254,29.60735,650.12875
43.1915,138.18955,640.1354,21.28775,43.0526,736.55055
54.26545,190.736,767.2885,33.3204,73.87465,893.9387
65.86005,296.43415,774.86615,46.50395,82.55185,935.09085
76.15595,296.46865,789.547,52.4456,82.58875,981.4418
79.66985,341.92925,1147.08365,61.5063,85.69645,982.1005
91.88815,343.6063,1179.36115,62.14085,87.70265,982.21885
94.2315,345.75405,NaN,73.81895,119.0878,982.26675
101.7234,352.9747,NaN,97.5808,138.21985,985.0864
115.14785,415.238,NaN,120.9854,185.06285,989.8217
131.6258,454.09545,NaN,149.35535,224.8133,990.22895
131.67615,541.7094,NaN,150.3349,260.01085,990.56855
138.1565,548.3853,NaN,158.76875,294.65905,991.21375
146.05715,550.93115,NaN,183.05455,447.6715,991.94025
161.96665,590.11105,NaN,226.43525,525.98425,992.18855
173.5931,608.5386,NaN,229.89285,590.22555,992.8734
183.39425,643.92215,NaN,254.4419,639.33545,993.3293
189.31865,732.7552,NaN,263.9387,678.8102,994.8827
221.4686,759.50885,NaN,297.44535,732.801,996.1331
242.28615,771.99045,NaN,299.58855,815.92165,1002.62475
252.54445,785.78575,NaN,306.98325,892.44915,1003.0456
271.97985,815.91915,NaN,310.89495,892.4856,1004.6424
281.3946,815.92455,NaN,338.64235,914.18885,1004.99165
281.8331,892.43595,NaN,345.78285,962.41365,1072.51765
284.0125,892.4683,NaN,360.83405,971.02545,1386.34665
294.6348,914.13535,NaN,361.00635,994.07005,1387.01225
296.39675,939.407,NaN,362.64245,1028.39105,1387.35875
296.4561,962.40035,NaN,369.60785,1124.6358,1387.57785
308.0968,1124.6234,NaN,386.70995,1124.6731,1387.73025
320.7073,1124.65115,NaN,420.47675,1130.68055,1389.47255
333.61695,1124.6605,NaN,423.5332,1147.11025,1389.77325
333.6262,1150.9762,NaN,437.6843,1150.9883,1390.02675
345.7447,1160.9961,NaN,447.1083,1151.01675,1390.22335
352.1599,1161.00465,NaN,452.4173,1161.0159,1390.99715
352.9668,1188.0668,NaN,471.53485,1188.0637,1391.4125
356.4058,1189.0207,NaN,477.20775,1280.896,1391.72125
