U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13
6.7294,65.85675,94.2043,1.91175,13.8263,0.7138,0.42495,13.86,8.23075,17.48325,2.44955,0.16345,0.0733
6.91365,94.2336,214.18825,2.2964,17.48865,2.561,0.89435,115.14465,13.25345,36.4042,8.2373,0.43785,0.26575
7.19715,112.32705,289.24875,3.0184,36.3561,7.13765,1.56075,119.04665,13.86495,36.42225,17.48325,0.71695,0.4982
13.8574,138.1391,304.4108,4.16985,43.10565,8.29235,1.90995,126.7885,36.45185,49.45805,24.19785,0.9739,0.737
14.1737,161.93035,320.66685,7.1629,49.4491,8.7459,2.3941,126.87055,94.25235,73.87415,36.3926,1.22455,1.02735
17.747,195.528,388.2588,7.73225,79.6693,11.24085,3.3087,131.6383,101.8039,79.66985,43.15045,1.46585,1.54275
36.4299,195.5754,404.25755,8.1858,146.1152,13.83195,4.92055,161.7661,110.1556,101.8078,65.8297,1.71635,1.7328
37.6468,207.89315,409.87285,10.3444,161.9399,36.8715,5.81175,161.81845,115.10945,115.12365,73.8433,1.952,1.9677
38.28595,230.00895,447.679,10.999,173.56995,37.8513,6.32135,161.85545,115.11385,119.0534,79.64885,2.1944,2.2862
38.7111,233.37165,454.46505,12.486,214.1957,43.1903,6.7225,161.8908,115.11765,126.77825,94.20855,2.41345,2.502
39.1297,252.48085,533.7235,13.08095,230.0211,49.50715,7.0351,161.93245,115.12085,126.78155,119.03205,2.653,2.79405
39.72265,271.93425,540.97385,13.37135,242.2222,50.5959,7.41935,161.95535,115.12875,161.9583,173.5576,2.8948,3.0663
40.43245,320.69735,607.1641,13.722,252.50815,53.4157,8.0382,161.9965,119.066,174.15195,183.3701,3.43315,3.2591
43.30955,353.03765,639.32955,13.8437,260.02005,54.08385,8.3721,162.04265,126.81985,175.7263,189.27925,3.7033,3.4404
49.46875,373.3231,644.0152,13.86925,263.99745,64.4896,9.07865,162.133,126.86095,183.49485,230.02675,3.9713,3.6145
77.61845,447.65705,657.20765,14.0614,267.86185,67.3554,9.4431,173.5882,131.6414,195.6191,242.2514,4.22455,3.77995
79.67385,447.6981,697.12995,15.41845,267.8788,68.1275,9.7881,195.65845,131.6564,214.24815,252.50865,4.47125,3.9754
91.2857,471.7811,702.53515,17.1689,271.93665,73.8672,10.53185,202.0315,138.084,230.03575,267.84415,4.7404,4.25025
98.5533,486.81285,716.50205,17.4947,281.3775,79.8364,10.878,230.0727,138.12415,233.36085,267.8739,4.9968,4.42215
101.89785,533.73935,732.31725,18.234,281.40935,101.8717,11.89245,233.38375,138.3204,242.2661,281.3616,5.2446,4.58255
107.89145,552.08665,759.62715,18.86225,294.6097,116.27365,12.29385,252.52695,143.90035,267.8086,289.26415,5.4945,4.86315
115.15915,600.039,762.916,75.60445,304.4036,116.7917,12.71725,267.85115,158.74445,267.8764,308.1052,5.7409,5.01145
116.50425,607.20065,770.33695,78.80085,320.6951,117.3106,13.39125,281.3777,161.9769,267.88955,320.6967,5.989,5.19255
117.39855,664.55725,785.64505,79.41335,320.7054,117.81385,13.8309,320.78255,173.56125,268.9341,320.7512,6.30605,5.4222
117.9167,664.6094,825.0203,79.66195,352.0979,118.86585,14.25915,353.044,173.59715,281.38225,333.5761,6.8596,5.62955
118.4291,739.352,829.4324,79.6989,390.063,120.2313,14.52075,361.07925,176.12115,294.5879,345.7271,7.08035,5.8094
118.7986,785.6481,835.58505,80.7267,398.70775,122.93825,14.82575,438.1495,185.08725,308.08905,345.7769,7.32975,5.97725
119.1306,794.6353,843.4082,81.1391,404.2449,126.82015,15.1784,447.7184,189.33345,320.7286,361.0126,7.58775,6.1299
119.6399,809.13225,866.49585,82.19,404.2483,126.8487,15.3985,479.69525,190.77535,321.2075,374.24055,7.80915,6.348
120.24875,829.4843,873.6179,82.24215,420.46245,127.70485,15.72625,486.8398,193.8024,328.5888,395.4346,8.0645,6.51275
120.9132,866.52135,903.8872,82.6764,447.6712,128.81575,16.2197,507.85585,193.85275,333.69135,395.65215,8.2751,6.71695
121.32025,878.97865,920.92765,83.25345,471.7596,131.672,16.5975,533.7422,195.54915,361.04025,395.8197,8.51815,6.94885
121.6647,897.04,920.9842,84.7549,479.6864,138.1315,17.11465,552.1054,195.61845,361.4071,396.25,8.7731,7.1523
