U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
0.117,1003.33,0.48,0.128,0.215,0.178,1.207,0.741,0.572,0.023,0.365,0.715,3.45,0.295,0.325,5.543,0.963,0.054,0.358,0.974,0.11,0.667,0.347,0,3.113,0.89,0.02,0.968,0.084,4.766,0.659,1.581,0.279,0.521,2.429,0.954,0.339,0.332,0.98,1.01,0.296,0.513,0.452,2.257,2.706,0.841,0.485,3.327,1.148,0.995,2.191,0.501,0.504,0.151,1.168,0.936,1.573,1.468,4.879,0.974,0.268,0.921,0.67,2.424,0.979,0.315,0.284,0.493,1.044,0.194,2.383,0,0.193,1.314,3.114,1.861,4.853,1.271,3.998,0.259
0.451,NaN,1.797,0.369,0.859,0.991,3.503,1.398,0.747,0.915,0.773,0.868,4.156,1.659,0.583,8.889,1.314,3.271,1.001,0.974,0.272,1.319,1.308,3.795,3.428,1.86,0.259,2.426,1.048,5.608,1.689,2.651,5.006,2.302,2.713,4.973,0.754,2.476,1.673,1.27,2.812,2.941,0.969,3.11,2.976,1.462,1.826,3.631,1.908,2.07,4.74,1.477,1.005,4.87,2.225,1.581,1.729,2.585,7.485,0.974,0.895,1.158,4.533,2.713,5.053,0.93,1.055,0.912,1.326,0.508,2.501,1.406,0.371,1.502,3.183,1.908,9.918,1.467,6.004,1.184
1.674,NaN,1.916,1.407,1.869,1.154,3.73,1.863,0.983,1.323,0.92,2.5,7.582,3.095,1.909,13.474,2.076,3.364,1.476,4.363,0.67,2.112,1.772,4.839,3.638,2.056,0.775,3.262,1.825,6.566,9.312,2.733,5.666,5.287,4.531,4.973,1.464,3.104,3.195,1.658,3.096,3.567,3.106,3.295,6.414,5.23,2.265,4.766,4.54,3.99,5.42,2.39,2.555,5.484,3.332,1.847,2.987,3.34,8.761,2.448,1.207,1.397,5.671,3.582,5.51,1.982,1.307,3.336,4.886,0.758,5.193,2.169,0.507,3.283,3.674,2.841,12.335,6.712,8.122,2.517
3.566,NaN,3.382,1.733,4.41,1.728,4.976,2.424,1.864,2.632,1.627,3.088,9.915,4.521,2.226,17.354,2.881,4.738,5.71,4.823,0.895,3.2,2.684,6.294,4.606,3.162,1.663,4.483,2.064,7.385,10.255,4.869,7.896,5.426,6.198,8.45,2.498,3.34,6.171,6.421,3.944,4.513,3.334,4.366,6.809,6.431,3.506,5.077,6.207,5.186,7.966,6.586,2.717,8.459,5.064,2.362,3.404,6.577,9.745,3.677,3.104,3.052,6.477,7.209,6.198,5.794,1.495,4.21,5.259,0.991,5.456,2.474,0.804,3.448,4.639,3.091,13.439,6.88,9.558,2.998
3.662,NaN,3.628,2.419,5.677,2.185,7.247,6.468,2.103,3.102,2.216,4.071,10.52,4.936,3.335,17.99,5.418,5.861,7.486,6.282,1.667,3.737,6.858,6.793,7.051,3.455,6.502,4.73,2.496,7.904,11.905,5.24,8.087,7.434,6.473,8.886,2.567,4.338,6.696,8.296,4.423,5.331,3.665,4.477,10.563,7.293,5.544,6.353,6.436,6.188,12.431,6.897,3.264,9.763,6.316,3.044,5.666,7.55,9.97,4.574,3.501,6.013,7.345,8.323,7.22,6.142,1.854,4.427,6.506,1.462,5.826,3.591,1.348,4.494,6.036,3.156,19.27,7.513,13.02,3.175
5.371,NaN,6.843,2.699,9.762,2.986,11.978,7.593,2.647,4.592,2.467,4.998,12.704,6.188,4.665,18.596,5.843,6.924,8.845,8.494,3.097,5.745,7.229,7.393,7.24,5.247,8.058,5.852,4.613,8.21,18.104,5.554,8.673,7.652,6.867,9.563,2.951,6.022,7.993,9.608,4.937,5.862,4.628,5.062,14.414,8.506,6.603,7.312,7.387,6.517,13.142,8.673,5.85,10.046,6.48,3.574,6.652,8.652,13.504,6.28,3.846,6.469,10.143,9.807,9.816,6.597,4.969,4.591,8.433,2.253,6.865,4.339,2.673,6.766,6.362,5.217,20.216,10.11,14.334,3.891
6.63,NaN,7.041,4.087,10.008,5.747,13.505,8.953,5.3,4.809,2.97,5.215,16.592,7.976,5.693,21.293,6.433,9.189,9.6,11.825,3.844,6.115,8.597,8.105,8.004,6.85,8.945,6.163,4.992,8.687,18.644,7.207,8.815,9.34,8.606,10.009,4.134,6.39,8.806,9.791,6.635,6.822,5.693,6.048,17.47,10.103,8.519,8.211,8.441,6.968,14.115,9.942,9.312,10.809,6.653,5.641,7.926,8.816,13.912,7.914,4.096,6.644,10.497,10.443,9.98,11.887,5.3,6.193,9.098,2.565,9.509,5.02,5.073,7.02,7.706,5.43,20.356,11.202,19.322,6.864
8.047,NaN,7.233,7.167,14.386,6.576,13.911,14.372,5.508,4.943,3.589,6.156,20.437,8.656,6.807,22.2,8.44,9.582,9.851,13.731,4.08,7.053,10.542,8.217,10.986,8.786,9.595,7.06,6.602,9.42,19.525,11.15,10.286,9.595,8.707,10.243,4.958,8.752,12.965,10.321,7.667,7.2,6.325,8.512,18.84,10.438,8.722,9.422,8.686,7.654,14.827,11.457,10.423,11.987,7.487,5.868,9.01,9.075,15.253,9.345,4.272,7.434,10.818,14.484,10.452,13.06,7.007,6.973,10.704,2.805,10.163,6.023,5.617,8.006,9.03,6.217,23.648,12.127,19.374,8.985
8.829,NaN,7.641,9.943,15.015,8.201,15.25,15.562,5.942,5.257,4.301,7.888,20.964,11.13,10.565,22.748,9.635,10.872,10.358,14.783,4.273,8.2,10.881,8.59,11.983,10.001,10.544,8.487,8.652,10.689,19.934,13.748,11.182,11.979,9.591,10.967,5.409,11.187,14.308,10.507,9.35,10.432,9.343,11.47,19.889,11.464,8.867,10.427,10.152,8.367,15.179,12.442,11.904,12.455,7.92,6.148,10.354,9.982,15.512,11.98,4.434,8.452,11.502,14.735,11.369,13.916,7.808,6.973,12.343,3.439,11.513,7.575,5.818,8.756,9.639,7.882,24.169,14.125,19.891,11.117
12.491,NaN,8.508,11.725,15.287,9.019,16.374,15.731,10.112,7.348,5.615,8.646,21.385,11.647,11.948,24.092,12.129,12.836,11.66,15.072,4.528,8.36,11.25,8.837,14.175,11.242,10.97,9.848,10.375,11.538,22.36,15.385,11.252,12.166,9.806,11.428,5.515,12.866,15.041,10.897,9.498,12.353,10.436,11.737,20.245,11.813,13,12.224,10.689,8.93,16.319,14.126,12.47,14.594,8.971,8.453,10.453,12.72,16.312,14.831,4.657,10.413,11.789,16.309,13.007,14.696,8.719,13.95,13.43,4.633,20.88,9.242,6.39,9.262,10.346,8.063,26.269,14.576,20.439,11.648
