U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
0.132,1003.33,0.172,0.141,0.231,0.165,0.148,0.359,0.48,0.039,23.463,0.076,0.229,0.252,0,0.312,0.553,0.07,0.131,0.157,0.126,0.276,0.076,0.161,0.156,0.155,0.035,0.285,0.1,1.803,0.254,0.006,0.02,0.266,0.368,0.242,0.089,0.164,0.288,0.326,0.12,0.721,0.12,0.048,0.122,0.716,0.074,0.431,0.056,0.112,0.331,0.041,56.931,0.08,0.264,0.07,0.137,2.334,0.404,0.128,0.137,0.063,0.307,0.4,0.29,0.178,0.053,0.034,14.246,0.133,0.061,0,0.193,0.404,0.094,0.129,0.213,0.139,0.099,0.081
0.281,NaN,9.517,15.776,0.43,0.442,0.649,0.484,0.587,0.275,29.112,0.278,0.848,0.37,0.154,1.251,0.818,0.282,0.374,0.378,0.261,0.37,0.268,0.288,1.343,0.426,0.139,0.825,0.267,3.234,0.577,0.168,0.082,0.445,0.436,0.317,0.18,0.227,0.488,0.387,0.297,1.604,0.27,0.142,0.825,1.599,0.482,0.745,0.15,0.407,0.535,0.246,62.505,0.153,0.487,0.131,0.557,2.732,0.595,0.437,0.269,0.304,0.75,0.728,0.735,0.303,0.285,0.489,31.498,0.403,0.293,0.275,0.368,0.723,0.278,0.423,0.277,0.406,0.185,0.259
0.468,NaN,15.276,19.473,0.874,1.89,0.946,0.757,0.762,0.662,34.637,0.433,1.089,0.669,0.335,1.522,0.979,0.432,0.482,0.953,0.686,0.682,0.363,0.461,4.966,0.603,0.222,0.984,0.426,8.432,0.674,0.713,0.294,0.536,0.488,0.67,0.338,0.566,0.83,1.026,0.425,2.741,0.396,0.539,1.064,2.26,0.652,1.43,0.491,0.598,0.802,0.533,77.746,0.396,0.723,0.3,0.706,5.662,0.75,0.547,0.568,0.432,2.342,1.031,0.865,0.67,0.429,0.609,32.253,0.718,0.543,0.474,0.54,0.733,0.411,0.693,0.375,0.556,0.207,0.312
0.661,NaN,16.166,20.324,1.094,2.528,1.222,0.917,0.858,0.879,49.156,0.698,1.644,0.935,0.598,1.775,1.329,1.847,0.69,1.342,0.909,0.945,0.874,0.639,6.554,0.87,0.476,1.34,0.652,10.089,1.619,0.854,0.61,0.559,0.878,0.769,0.443,0.595,0.992,1.046,0.924,6.156,0.455,0.945,2.707,2.864,0.887,1.588,0.726,0.752,1.245,0.714,82.446,0.549,0.956,0.393,1.038,5.924,1.255,0.713,0.683,0.744,2.74,1.162,0.98,0.84,0.571,0.71,64.703,0.939,0.912,0.494,0.58,0.869,0.69,0.816,0.475,0.681,0.814,0.486
1.344,NaN,17.155,24.355,1.345,2.916,1.798,1.353,1.032,0.935,52.433,0.83,2.358,1.433,1.124,1.992,1.587,2.252,0.799,1.585,1.596,1.039,1.324,0.753,7.503,1.358,0.648,1.807,1.064,11.162,1.656,0.89,0.887,1.021,1.098,0.854,0.601,0.943,0.992,1.257,1.666,7.078,0.576,1.11,2.977,2.971,0.951,1.776,0.965,0.965,1.721,0.863,86.597,0.743,1.044,0.74,1.574,7.771,1.491,0.953,0.884,0.924,3.524,1.614,1.24,0.932,0.86,0.913,68.847,1.593,1.165,0.994,0.806,1.044,0.725,1.676,0.575,0.719,0.958,0.74
1.69,NaN,18.28,25.917,1.575,3.319,2.269,1.416,1.213,1.009,60.535,0.882,2.787,1.675,1.473,1.992,2.088,2.379,1.017,1.801,2.282,1.335,1.788,1.236,7.615,1.877,0.791,1.908,1.685,11.492,1.706,1.204,1.263,1.067,1.253,0.969,0.773,1.605,1.099,1.286,1.996,13.935,0.97,1.265,2.977,3.973,1.167,1.978,1.149,1.366,2.192,1.259,105.68,0.87,1.174,0.936,1.729,16.321,1.784,1.588,1.073,1.158,4.458,1.93,2.327,1.019,0.929,1.253,70.752,1.993,1.744,1.136,0.864,1.116,0.757,1.861,0.833,0.943,1.248,1.081
1.848,NaN,18.58,27.449,1.74,3.602,2.502,1.581,1.596,1.338,62.354,1.13,2.952,2.372,1.856,2.416,2.183,2.8,1.245,2.462,2.706,1.579,2.368,1.482,8.431,2.071,1.204,2.19,1.841,11.81,1.736,1.529,1.621,1.661,1.744,1.039,0.927,1.684,1.466,1.393,2.71,14.584,1.079,1.791,4.172,4.195,1.25,1.978,1.598,1.78,2.446,1.482,113.508,0.958,1.591,1.156,2.327,21.573,2.216,2.256,1.208,1.4,5.671,2.32,2.725,1.442,1.056,1.486,81.518,2.736,2.054,1.405,1.06,1.171,1.088,1.907,0.892,1.27,1.603,1.185
2.052,NaN,19.576,29.097,1.886,4.692,2.822,1.851,1.88,1.44,81.218,1.255,3.46,2.702,1.926,2.613,2.467,3.243,1.491,2.509,2.936,1.794,2.522,1.81,9.223,2.361,1.679,2.413,2.082,11.999,3.284,1.596,1.782,2.09,1.856,1.346,1.352,1.867,1.688,1.495,2.813,19.736,1.596,2.257,4.51,5.006,1.503,2.096,1.737,2.071,2.831,1.712,117.554,1.115,1.733,1.582,2.546,25.966,2.526,2.437,1.465,1.498,6.146,2.426,3.483,1.791,1.2,1.594,83.221,3.235,2.38,1.748,1.145,1.252,1.299,2.073,0.984,1.994,1.668,1.661
2.67,NaN,21.633,29.546,2.366,5.247,3.52,2.44,2.115,1.61,85.868,1.778,3.782,3.013,2.193,3.558,2.713,3.379,2.522,2.873,3.095,1.904,2.7,2.513,9.527,2.666,2.178,2.864,2.37,13.532,3.413,1.786,2.23,2.209,1.947,1.636,1.478,2.182,1.746,1.673,3.096,27.567,1.782,2.399,5.679,5.403,1.667,2.744,1.906,2.248,3.086,2.336,119.711,1.247,1.878,1.77,2.725,27.571,2.8,2.751,1.785,1.647,6.561,2.714,3.639,1.983,1.31,1.738,85.175,4.738,2.469,1.875,1.348,1.285,1.593,2.171,1.07,2.023,1.801,1.923
2.968,NaN,22.408,29.93,2.961,5.907,3.64,2.677,2.262,2.365,87.285,2.375,4.172,3.204,2.445,4.16,2.897,3.592,2.918,3.221,3.201,2.123,2.985,2.631,10.841,2.794,2.677,3.124,2.512,14.224,3.799,1.893,2.54,2.317,2.373,1.651,1.85,2.197,2.258,2.01,3.288,28.553,1.988,2.541,5.888,5.656,1.799,2.873,2.23,2.414,3.703,2.392,124.986,1.773,1.982,1.849,2.987,28.549,3.656,2.859,2.305,1.743,7.957,3.202,3.791,2.737,1.496,1.985,86.082,5.648,2.501,2.167,1.628,1.316,1.792,2.235,1.215,2.264,2,2.111
