U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80
0.132,1003.33,0.162,0.129,0.231,0.194,0.148,0.358,0.484,0.039,0.141,0.077,0.229,0.252,0,0.312,0.553,0.07,0.133,0.381,0.126,0.369,0.079,0.461,0.229,0.155,0.035,0.285,0.1,0.122,0.254,0.006,0.02,0.536,0.493,0.317,0.089,0.228,0.289,0.325,0.118,0.449,0.12,0.14,0.122,0.497,0.075,0.43,0.058,0.11,0.33,0.044,0.111,0.152,0.264,0.067,0.07,0.075,0.407,0.129,0.258,0.065,0.376,0.189,0.291,0.178,0.048,0.033,0.063,0.185,0.075,0,0.193,0.738,0.094,0.132,0.213,0.144,0.099,0.083
0.468,NaN,0.357,0.214,0.431,0.287,0.649,0.485,0.587,0.662,0.319,0.28,0.848,0.37,0.154,1.251,0.818,0.281,0.374,0.967,0.263,0.682,0.362,0.639,0.334,0.426,0.14,0.706,0.271,0.974,0.577,0.168,0.083,0.56,0.715,0.671,0.339,0.566,0.488,1.257,0.297,1.472,0.272,0.46,0.825,0.842,0.483,0.746,0.452,0.598,0.535,0.246,0.504,0.397,0.49,0.183,0.47,0.443,0.595,0.437,0.567,0.433,0.671,0.479,0.777,0.304,0.285,0.49,0.465,0.444,0.295,0.275,0.368,0.869,0.69,0.423,0.375,0.501,0.186,0.259
0.661,NaN,0.497,0.307,0.874,0.875,0.946,0.757,0.762,0.931,0.381,0.436,1.089,0.669,0.334,1.478,0.979,0.433,0.484,1.585,0.686,0.945,0.874,0.753,0.703,0.603,0.222,0.827,0.426,1.28,0.674,0.713,0.294,0.879,0.878,0.77,0.602,0.598,0.831,1.286,0.425,2.575,0.397,0.605,1.064,1.286,0.652,1.43,0.67,0.969,0.801,0.452,1.333,0.872,0.726,0.305,0.706,0.883,1.491,0.713,0.683,0.678,0.849,0.839,0.869,0.67,0.43,0.71,0.732,0.51,0.545,0.475,0.514,1.116,0.758,0.816,0.475,0.556,0.814,0.312
1.69,NaN,1.813,0.698,1.098,1.006,1.222,0.916,0.857,1.003,0.489,0.699,1.644,0.935,0.598,1.775,1.329,0.836,0.691,2.462,0.909,1.041,1.324,1.236,0.823,0.869,0.478,0.984,0.652,1.47,1.619,0.855,0.61,1.021,1.114,0.969,0.774,0.945,1.105,1.393,0.924,7.301,0.456,1.11,2.707,1.395,0.888,1.589,1.062,1.366,1.245,0.862,1.642,1.116,1.054,0.393,1.049,1.441,1.688,0.975,0.884,0.926,1.447,1.031,0.98,0.84,0.57,0.913,1.044,0.65,0.704,0.993,0.548,1.284,1.298,1.677,0.576,0.681,1.248,0.484
1.848,NaN,1.923,1.024,1.347,1.169,1.799,1.414,1.032,1.341,0.789,0.832,2.358,1.433,1.124,1.992,1.587,1.848,1.017,2.873,1.142,1.341,1.788,1.48,0.988,0.999,0.648,1.909,0.827,2.054,1.656,1.204,1.484,1.068,1.253,1.457,0.927,1.599,1.466,1.495,1.666,10.567,0.97,1.269,2.977,1.464,1.248,1.777,1.15,1.786,1.695,1.484,1.976,1.679,1.233,0.747,1.574,1.607,2.216,1.589,1.074,1.159,1.903,1.219,1.227,0.932,0.697,1.486,1.328,0.759,0.912,1.073,0.583,1.317,1.768,1.861,0.835,1.271,1.603,1.081
2.052,NaN,2.472,1.423,1.575,1.373,2.27,1.581,1.214,1.443,0.934,1.13,2.787,1.675,1.473,1.992,1.757,2.251,1.247,3.222,2.21,1.579,2.369,2.063,1.749,1.368,0.791,2.413,1.064,2.252,1.705,1.596,1.621,1.492,1.745,1.633,1.478,1.866,1.688,1.673,2.812,11.716,1.08,1.792,2.977,1.86,1.507,1.978,1.599,2.034,2.192,1.703,1.976,1.774,1.594,0.937,1.729,1.786,2.526,2.022,1.208,1.4,2.277,1.855,1.861,1.019,0.862,1.856,1.842,0.944,1.165,1.136,0.806,1.612,2.094,1.907,0.893,1.472,1.668,1.185
2.67,NaN,2.662,1.699,1.74,1.486,2.822,1.852,1.592,2.136,1.486,1.779,2.952,2.372,1.859,2.292,1.921,2.8,1.491,3.359,2.706,1.795,2.7,2.261,1.913,1.877,0.942,2.722,1.685,2.378,1.735,1.893,1.784,1.661,1.947,1.653,1.85,1.904,2.258,2.01,3.096,12.964,1.624,2.017,4.172,2.011,1.672,1.978,1.905,2.093,2.446,1.858,2.152,2.023,1.876,1.158,1.849,2.494,2.8,2.256,1.465,1.647,2.989,2.16,2.329,1.442,0.93,2.553,2.338,1.13,1.744,1.406,0.865,2.182,2.225,2.073,0.985,1.845,1.803,1.661
2.968,NaN,2.887,2.148,1.887,1.745,3.52,2.427,1.88,2.369,1.642,2.302,3.46,2.701,1.927,2.417,2.093,3.243,2.072,3.771,2.937,1.907,2.984,2.593,2.275,2.071,1.204,2.865,1.841,2.996,3.284,1.984,2.23,2.101,2.447,1.872,1.932,2.183,2.737,2.125,3.287,13.724,1.833,2.258,4.51,2.15,1.799,2.096,2.231,2.249,2.83,2.364,2.539,2.336,2.026,1.239,2.546,2.587,3.656,2.437,1.785,1.914,3.086,2.321,3.34,1.896,1.056,2.84,2.741,1.465,2.054,1.875,1.061,2.343,2.342,2.172,1.071,1.994,3.645,1.924
3.389,NaN,3.266,2.313,2.731,1.83,3.64,2.976,2.071,2.648,2.062,2.518,3.782,3.013,2.243,2.613,2.467,3.379,3.058,4.379,3.095,2.507,3.213,2.773,2.897,2.362,1.679,3.124,2.28,3.65,3.413,2.043,2.54,2.204,2.728,1.935,2.064,2.491,2.854,2.308,3.547,15.925,3.104,2.85,5.679,2.569,1.919,2.804,3.635,2.701,3.086,2.503,2.717,2.453,2.226,1.478,2.987,2.927,4.393,2.808,2.305,2.369,3.249,2.426,3.639,1.984,1.2,3.066,3.998,1.759,2.38,2.167,1.145,2.462,2.811,2.721,1.216,2.021,3.982,2.111
3.582,NaN,3.399,2.435,2.964,2.201,3.746,3.403,2.262,2.713,2.232,2.652,4.172,3.204,3.126,3.558,2.713,5.001,3.824,4.839,3.206,3.215,3.641,2.914,3.129,2.666,2.065,3.278,2.512,4.004,3.799,2.3,2.6,2.285,2.97,2.378,2.15,2.835,3.21,2.533,3.945,17.713,3.298,2.965,5.888,2.845,2.267,3.328,3.82,2.959,3.702,3.23,3.266,2.675,2.566,1.582,3.323,3.342,4.824,3.311,3.111,2.559,3.348,2.551,3.791,2.737,1.31,3.336,4.36,1.838,2.469,2.279,1.348,3.048,3.117,2.839,1.926,2.344,4.258,2.519
